district,state,year,vote_share
kupwara,jammu kashmir,2014,40.392
baramulla,jammu kashmir,2014,35.325714285714284
bandipora,jammu kashmir,2014,42.169999999999995
ganderbal,jammu kashmir,2014,41.75
srinagar,jammu kashmir,2014,44.885
budgam,jammu kashmir,2014,43.041999999999994
pulwama,jammu kashmir,2014,39.61
shopian,jammu kashmir,2014,38.335
kulgam,jammu kashmir,2014,40.5325
anantnag,jammu kashmir,2014,43.603333333333325
leh,jammu kashmir,2014,47.64
kargil,jammu kashmir,2014,46.849999999999994
kishtwar,jammu kashmir,2014,46.15
doda,jammu kashmir,2014,35.980000000000004
ramban,jammu kashmir,2014,36.474999999999994
reasi,jammu kashmir,2014,34.166666666666664
udhampur,jammu kashmir,2014,49.48333333333334
kathua,jammu kashmir,2014,51.754
samba,jammu kashmir,2014,48.265
jammu,jammu kashmir,2014,51.60636363636363
rajouri,jammu kashmir,2014,37.4625
poonch,jammu kashmir,2014,39.92333333333334
chamba,himachal pradesh,2012,46.914
kangra,himachal pradesh,2012,45.211333333333336
lahaul spiti,himachal pradesh,2012,60.33
kullu,himachal pradesh,2012,41.325
mandi,himachal pradesh,2012,46.262
hamirpur,uttar pradesh,2012,49.49142857142857
una,himachal pradesh,2012,49.303999999999995
bilaspur,chhattisgarh,2012,47.245000000000005
solan,himachal pradesh,2012,43.146
sirmour,himachal pradesh,2012,48.010000000000005
shimla,himachal pradesh,2012,53.525
kinnaur,himachal pradesh,2012,54.09
pathankot,punjab,2012,45.50666666666667
gurdaspur,punjab,2012,52.1157142857143
amritsar,punjab,2012,50.95454545454545
tarn taran,punjab,2012,46.94499999999999
kapurthala,punjab,2012,48.99
jalandhar,punjab,2012,43.60444444444445
hoshiarpur,punjab,2012,46.9775
nawanshahr,punjab,2012,34.49333333333333
rup nagar,punjab,2012,42.22
s a s nagar,punjab,2012,44.34666666666667
fatehgarh sahib,punjab,2012,37.583333333333336
ludhiana,punjab,2012,47.82071428571428
moga,punjab,2012,46.1775
firozpur,punjab,2012,48.8725
fazilka,punjab,2012,43.2675
mukatsar,punjab,2012,45.695
faridkot,punjab,2012,45.093333333333334
bathinda,punjab,2012,43.306666666666665
mansa,punjab,2012,40.35
sangrur,punjab,2012,43.255714285714284
barnala,punjab,2012,45.92666666666667
patiala,punjab,2012,51.46
uttarkashi,uttarakhand,2012,38.696666666666665
chamoli,uttarakhand,2012,31.573333333333334
rudraprayag,uttarakhand,2012,35.845
tehri garhwal,uttarakhand,2012,36.71333333333333
dehradun,uttarakhand,2012,42.571
haridwar,uttarakhand,2012,36.387272727272716
pauri garhwal,uttarakhand,2012,41.660000000000004
pithoragarh,uttarakhand,2012,47.605000000000004
bageshwar,uttarakhand,2012,41.205
almora,uttarakhand,2012,38.94
champawat,uttarakhand,2012,49.79
nainital,uttarakhand,2012,40.61833333333333
udham singh nagar,uttarakhand,2012,42.290000000000006
panchkula,haryana,2014,47.355000000000004
ambala,haryana,2014,40.434999999999995
yamunanagar,haryana,2014,45.135
kurukshetra,haryana,2014,39.6725
kaithal,haryana,2014,33.03
karnal,haryana,2014,37.652
panipat,haryana,2014,43.6425
sonipat,haryana,2014,38.35
jind,haryana,2014,37.67999999999999
fatehabad,haryana,2011,45.15
sirsa,haryana,2014,38.715999999999994
hisar,haryana,2011,48.06
bhiwani,haryana,2014,33.69833333333333
rohtak,haryana,2014,46.275
jhajjar,haryana,2014,36.334999999999994
mahendragarh,haryana,2014,43.93749999999999
rewari,haryana,2014,48.370000000000005
gurgaon,haryana,2014,47.00749999999999
mewat,haryana,2014,37.126666666666665
palwal,haryana,2014,36.199999999999996
faridabad,haryana,2014,44.428333333333335
north west delhi,delhi,2013,41.544000000000004
north east delhi,delhi,2013,36.682
chandni chowk,delhi,2013,37.31099999999999
new delhi,delhi,2013,40.023
west delhi,delhi,2013,37.67700000000001
south delhi,delhi,2013,37.266000000000005
east delhi,delhi,2013,41.208999999999996
ganganagar,rajasthan,2013,38.48833333333334
hanumangarh,rajasthan,2013,39.524
bikaner,rajasthan,2013,47.535714285714285
churu,rajasthan,2013,48.291666666666664
jhunjhunu,rajasthan,2013,44.980000000000004
sikar,rajasthan,2013,43.432500000000005
jaipur,rajasthan,2013,48.724736842105266
alwar,rajasthan,2013,46.03727272727272
bharatpur,rajasthan,2013,38.64714285714286
dholpur,rajasthan,2013,39.629999999999995
karauli,rajasthan,2013,37.349999999999994
dausa,rajasthan,2013,36.176
sawai madhopur,rajasthan,2013,38.3025
tonk,rajasthan,2013,47.6225
ajmer,rajasthan,2013,50.591249999999995
nagaur,rajasthan,2013,49.339
pali,rajasthan,2013,51.681666666666665
jodhpur,rajasthan,2013,53.831999999999994
jaisalmer,rajasthan,2013,54.07
barmer,rajasthan,2013,50.88428571428572
jalore,rajasthan,2013,53.589999999999996
sirohi,rajasthan,2013,50.91
udaipur,rajasthan,2013,49.470000000000006
pratapgarh,uttar pradesh,2012,41.55571428571428
dungarpur,rajasthan,2013,46.462500000000006
banswara,rajasthan,2013,48.674
chittorgarh,rajasthan,2013,48.764
rajsamand,rajasthan,2013,53.4275
bhilwara,rajasthan,2013,52.980000000000004
bundi,rajasthan,2013,44.89000000000001
kota,rajasthan,2013,51.905
baran,rajasthan,2013,51.05499999999999
jhalawar,rajasthan,2013,54.5575
saharanpur,uttar pradesh,2012,35.831428571428575
prabuddha nagar,uttar pradesh,2012,35.96666666666666
muzaffarnagar,uttar pradesh,2012,32.413333333333334
bijnor,uttar pradesh,2012,33.35875
moradabad,uttar pradesh,2012,34.251666666666665
bheem nagar,uttar pradesh,2012,35.056666666666665
rampur,uttar pradesh,2012,33.946
jyotiba phule nagar,uttar pradesh,2012,33.08
meerut,uttar pradesh,2012,32.52428571428571
baghpat,uttar pradesh,2012,40.449999999999996
ghaziabad,uttar pradesh,2012,34.772000000000006
panchsheel nagar,uttar pradesh,2012,38.11
gautam budh nagar,uttar pradesh,2012,38.45666666666667
bulandshahr,uttar pradesh,2012,32.612857142857145
aligarh,uttar pradesh,2012,34.26428571428571
mahamaya nagar,uttar pradesh,2012,36.17666666666667
mathura,uttar pradesh,2012,37.998333333333335
agra,uttar pradesh,2012,37.44111111111111
firozabad,uttar pradesh,2012,43.147999999999996
kanshiram nagar,uttar pradesh,2012,28.223333333333333
etah,uttar pradesh,2012,35.695
mainpuri,uttar pradesh,2012,42.7175
badaun,uttar pradesh,2012,35.80125
bareilly,uttar pradesh,2012,31.894444444444446
pilibhit,uttar pradesh,2012,36.3325
shahjahanpur,uttar pradesh,2012,34.14833333333333
lakhimpur kheri,uttar pradesh,2012,36.09428571428571
kheri,uttar pradesh,2012,28.86
sitapur,uttar pradesh,2012,36.3811111111111
hardoi,uttar pradesh,2012,38.7025
unnao,uttar pradesh,2012,34.71
lucknow,uttar pradesh,2012,33.35333333333333
rae bareli,uttar pradesh,2012,33.898
chhatrapathi shahuji maharaj gar,uttar pradesh,2012,33.230000000000004
sultanpur,uttar pradesh,2012,41.8825
farrukhabad,uttar pradesh,2012,27.46
kannauj,uttar pradesh,2012,39.78333333333333
etawah,uttar pradesh,2012,46.776666666666664
auraiya,uttar pradesh,2012,38.650000000000006
ramabai nagar,uttar pradesh,2012,33.942499999999995
kanpur grameen,uttar pradesh,2012,33.985
kanpur nagar,uttar pradesh,2012,35.788333333333334
jalaun,uttar pradesh,2012,28.59
jhansi,uttar pradesh,2012,32.089999999999996
lalitpur,uttar pradesh,2012,27.494999999999997
mahoba,uttar pradesh,2012,29.980000000000004
banda,uttar pradesh,2012,31.042499999999997
chitrakoot,uttar pradesh,2012,31.065
fatehpur,uttar pradesh,2012,32.11166666666667
kaushambi,uttar pradesh,2012,34.85
allahabad,uttar pradesh,2012,34.06916666666667
barabanki,uttar pradesh,2012,35.723333333333336
faizabad,uttar pradesh,2012,37.894000000000005
ambedkar nagar,uttar pradesh,2012,47.102000000000004
bahraich,uttar pradesh,2012,28.791428571428565
shravasti,uttar pradesh,2012,33.004999999999995
balrampur,chhattisgarh,2012,31.527499999999996
gonda,uttar pradesh,2012,36.910000000000004
siddharth nagar,uttar pradesh,2012,31.357999999999993
basti,uttar pradesh,2012,36.404
sant kabir nagar,uttar pradesh,2012,29.863333333333333
maharajganj,uttar pradesh,2012,31.526
gorakhpur,uttar pradesh,2012,35.65222222222222
kushinagar,uttar pradesh,2012,27.921428571428574
deoria,uttar pradesh,2012,33.45142857142857
azamgarh,uttar pradesh,2012,39.318000000000005
mau,uttar pradesh,2012,30.877499999999998
ballia,uttar pradesh,2012,34.43571428571429
jaunpur,uttar pradesh,2012,34.47666666666667
ghazipur,uttar pradesh,2012,36.707142857142856
chandauli,uttar pradesh,2012,35.1275
varanasi,uttar pradesh,2012,30.869999999999997
sant ravidas nagar,uttar pradesh,2012,45.553333333333335
mirzapur,uttar pradesh,2012,34.647999999999996
sonbhadra,uttar pradesh,2012,29.965000000000003
west champaran,bihar,2014,50.6
east champaran,bihar,2014,29.02
sheohar,bihar,2015,29.71
sitamarhi,bihar,2015,41.69499999999999
madhubani,bihar,2014,48.16
supaul,bihar,2015,51.496
araria,bihar,2015,50.58833333333334
kishanganj,bihar,2014,32.65
purnea,bihar,2011,50.73
katihar,bihar,2015,37.74285714285715
madhepura,bihar,2015,47.4925
saharsa,bihar,2015,49.745000000000005
darbhanga,bihar,2014,40.18
muzaffarpur,bihar,2015,44.340909090909086
gopalganj,bihar,2015,40.86166666666667
siwan,bihar,2014,28.1
saran,bihar,2014,44.47
vaishali,bihar,2014,38.8
samastipur,bihar,2013,46.03
begusarai,bihar,2014,39.01
khagaria,bihar,2015,44.69
khagari a,bihar,2014,63.53
bhagalpur,bihar,2014,56.09
banka,bihar,2014,45.59
munger,bihar,2015,44.97666666666667
lakhisarai,bihar,2015,45.495000000000005
sheikhpura,bihar,2015,37.265
nalanda,bihar,2015,44.892857142857146
patna,bihar,2015,48.37928571428571
bhojpur,bihar,2015,41.35285714285714
buxor,bihar,2015,49.95
buxar,bihar,2015,44.695
kaimur bhabhua,bihar,2015,35.895
kaimur,bihar,2014,53.69
rohtas,bihar,2015,41.75142857142857
arwal,bihar,2015,42.62
ar wal,bihar,2015,37.79
jahanabad,bihar,2015,49.87
aurangabad,maharashtra,2014,34.226666666666674
gaya,bihar,2015,45.675
nawada,bihar,2015,44.496
jamui,bihar,2015,39.0625
west,sikkim,2014,59.863749999999996
south,sikkim,2014,60.18
east,sikkim,2014,53.54583333333333
north,sikkim,2014,55.42666666666667
sangha,sikkim,2014,49.86
tawang,arunachal pradesh,2014,80.06333333333333
west kameng,arunachal pradesh,2014,69.22749999999999
east kameng,arunachal pradesh,2014,75.3
papum pare,arunachal pradesh,2014,85.11333333333333
lower subansiri,arunachal pradesh,2014,50.35
kurung kumey,arunachal pradesh,2014,76.455
upper subansiri,arunachal pradesh,2014,71.186
west siang,arunachal pradesh,2014,51.260000000000005
upper siang,arunachal pradesh,2014,48.765
east siang,arunachal pradesh,2014,61.61800000000001
dibang valley,arunachal pradesh,2014,52.26
lower dibang valley,arunachal pradesh,2014,55.575
lohit,arunachal pradesh,2014,53.919999999999995
anjaw,arunachal pradesh,2014,77.68
changlang,arunachal pradesh,2014,54.326
tirap,arunachal pradesh,2014,43.465
dimapur,nagaland,2013,45.25
peren,nagaland,2013,44.945
kohima,nagaland,2013,60.56428571428571
pughoboto,nagaland,2013,59.42
phek,nagaland,2013,49.134
mokokchung,nagaland,2011,55.89
zunheboto,nagaland,2013,55.52833333333333
wokha,nagaland,2013,43.440000000000005
mon,nagaland,2013,54.47888888888889
longleng,nagaland,2013,56.08
tuensang,nagaland,2013,48.443749999999994
kiphire,nagaland,2013,57.474999999999994
imphal east,manipur,2012,44.61363636363637
imphal west,manipur,2012,40.72076923076923
bishnupur,manipur,2012,42.723333333333336
thoubal,manipur,2012,52.648
chandel,manipur,2012,40.765
ukhrul,manipur,2012,36.92333333333333
senapati,manipur,2012,49.71333333333334
tamenglong,manipur,2012,47.57666666666666
churachandpur,manipur,2012,50.156666666666666
mamit,mizoram,2013,44.81
kolasib,mizoram,2013,39.23333333333334
tuivawl,mizoram,2013,42.124
champhai,mizoram,2013,43.658
serchhip,mizoram,2013,39.74
lunglei,mizoram,2013,50.80285714285714
lawngtlai,mizoram,2013,56.93333333333334
saiha,mizoram,2013,53.239999999999995
west tripura,tripura,2012,56.13
south tripura,tripura,2013,56.073571428571434
dhalai,tripura,2013,50.555
north tripura,tripura,2013,50.82636363636364
west jaintia hills,meghalaya,2013,42.36
east jaintia hills,meghalaya,2013,42.644999999999996
ri bhoi,meghalaya,2013,42.174
east khasi hills,meghalaya,2013,42.8864705882353
west khasi hills,meghalaya,2013,38.419999999999995
south west khasi hills,meghalaya,2013,33.68
east garo hills,meghalaya,2013,34.65
north garo hills,meghalaya,2013,38.99666666666667
west garo hills,meghalaya,2013,32.67
south west garo hills,meghalaya,2013,51.24333333333333
south garo hills,meghalaya,2013,31.25
karimganj,assam,2011,41.238
